label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,warmup
e1-5,binary,5,bot_4,206,b,12,3.39,25,0
e1-5,binary,5,bot_4,206,b,14,4.84,25,0
e1-5,binary,5,bot_4,206,b,16,3.59,25,0
e1-5,binary,5,bot_4,206,b,18,4.12,25,0
e1-5,binary,5,bot_4,206,b,20,13.49,25,0
e1-5,binary,5,bot_4,206,b,22,10.89,25,0
e1-5,binary,5,bot_4,206,b,24,18.87,25,0
e1-5,binary,5,bot_4,206,b,26,19.22,25,0
e1-5,binary,5,bot_4,206,b,28,14.71,25,0
e1-5,binary,5,bot_4,206,b,30,11.58,25,0
e1-5,binary,5,bot_4,206,b,32,19.72,25,0
e1-5,binary,5,bot_4,206,b,34,23.55,25,0
e1-5,binary,5,bot_4,206,b,36,20.22,25,0
e1-5,binary,5,bot_4,206,b,38,24.33,25,0
e1-5,binary,5,bot_4,206,b,40,15.11,25,0
e1-5,binary,5,bot_4,206,b,42,11.68,25,0
e1-5,binary,5,bot_4,206,b,44,3.71,25,0
e1-5,binary,5,bot_4,206,b,46,25.67,25,0
e1-5,binary,5,bot_4,206,b,48,9.82,25,0
e1-5,binary,5,bot_4,206,b,50,4.18,25,0
e1-5,binary,5,bot_4,206,b,52,4.1,25,0
e1-5,binary,5,bot_4,206,b,54,2.98,25,0
e1-5,binary,5,bot_4,206,b,56,13.48,25,0
e1-5,binary,5,bot_4,206,b,58,7.45,25,0
e1-5,binary,5,bot_4,206,b,60,16.56,25,0
e1-5,binary,5,bot_5,207,w,1,7.68,25,0
e1-5,binary,5,bot_5,207,w,3,5.79,25,0
e1-5,binary,5,bot_5,207,w,5,4.1,25,0
e1-5,binary,5,bot_5,207,w,7,7.05,25,0
e1-5,binary,5,bot_5,207,w,9,6.85,25,0
e1-5,binary,5,bot_5,207,w,11,5.66,25,0
e1-5,binary,5,bot_5,207,w,13,5.27,25,0
e1-5,binary,5,bot_5,207,w,15,10.25,25,0
e1-5,binary,5,bot_5,207,w,17,11.79,25,0
e1-5,binary,5,bot_5,207,w,19,9.65,25,0
e1-5,binary,5,bot_5,207,w,21,10.91,25,0
e1-5,binary,5,bot_5,207,w,23,17.17,25,0
e1-5,binary,5,bot_5,207,w,25,7.31,25,0
e1-5,binary,5,bot_5,207,w,27,4.22,25,0
e1-5,binary,5,bot_5,207,w,29,4.09,25,0
e1-5,binary,5,bot_5,207,w,31,9.21,25,0
e1-5,binary,5,bot_5,207,w,33,30.07,25,0
e1-5,binary,5,bot_5,207,w,35,5.02,25,0
e1-5,binary,5,bot_5,207,w,37,18.83,25,0
e1-5,binary,5,bot_5,207,w,39,5.52,25,0
e1-5,binary,5,bot_5,207,w,41,3.85,25,0
e1-5,binary,5,bot_5,207,w,43,12.48,25,0
e1-5,binary,5,bot_5,207,w,45,3.48,25,0
e1-5,binary,5,bot_5,207,w,47,6.57,25,0
e1-5,binary,5,bot_5,207,w,49,3.15,25,0
e1-5,binary,5,bot_5,207,w,51,3.25,25,0
e1-5,binary,5,bot_5,207,w,53,14.99,25,0
e1-5,binary,5,bot_5,207,w,55,14.15,25,0
e1-5,binary,5,bot_5,207,w,57,16.27,25,0
e1-5,binary,5,bot_5,207,w,59,19.86,25,0
e1-5,binary,5,bot_6,207,b,2,5.52,25,0
e1-5,binary,5,bot_6,207,b,4,5.62,25,0
e1-5,binary,5,bot_6,207,b,6,7.69,25,0
e1-5,binary,5,bot_6,207,b,8,5.65,25,0
e1-5,binary,5,bot_6,207,b,10,6.44,25,0
e1-5,binary,5,bot_6,207,b,12,16.26,25,0
e1-5,binary,5,bot_6,207,b,14,15.93,25,0
e1-5,binary,5,bot_6,207,b,16,27.17,25,0
e1-5,binary,5,bot_6,207,b,18,31.33,25,0
e1-5,binary,5,bot_6,207,b,20,22.27,25,0
e1-5,binary,5,bot_6,207,b,22,18.65,25,0
e1-5,binary,5,bot_6,207,b,24,38.5,25,0
e1-5,binary,5,bot_6,207,b,26,3.27,25,0
e1-5,binary,5,bot_6,207,b,28,6.37,25,0
e1-5,binary,5,bot_6,207,b,30,42.28,25,0
e1-5,binary,5,bot_6,207,b,32,20.48,25,0
e1-5,binary,5,bot_6,207,b,34,21.5,25,0
e1-5,binary,5,bot_6,207,b,36,12.36,25,0
e1-5,binary,5,bot_6,207,b,38,4.13,25,0
e1-5,binary,5,bot_6,207,b,40,6.1,25,0
e1-5,binary,5,bot_6,207,b,42,21.19,25,0
e1-5,binary,5,bot_6,207,b,44,11.09,25,0
e1-5,binary,5,bot_6,207,b,46,6.83,25,0
e1-5,binary,5,bot_6,207,b,48,25.1,25,0
e1-5,binary,5,bot_6,207,b,50,3.65,25,0
e1-5,binary,5,bot_6,207,b,52,4.9,25,0
e1-5,binary,5,bot_6,207,b,54,17.69,25,0
e1-5,binary,5,bot_6,207,b,56,20.68,25,0
e1-5,binary,5,bot_6,207,b,58,14.13,25,0
e1-5,binary,5,bot_6,207,b,60,9.18,25,0
e1-5,binary,5,bot_7,208,w,1,2.61,25,0
e1-5,binary,5,bot_7,208,w,3,5.25,25,0
e1-5,binary,5,bot_7,208,w,5,2.67,25,0
e1-5,binary,5,bot_7,208,w,7,4.6,25,0
e1-5,binary,5,bot_7,208,w,9,3.26,25,0
e1-5,binary,5,bot_7,208,w,11,5.87,25,0
e1-5,binary,5,bot_7,208,w,13,7.92,25,0
e1-5,binary,5,bot_7,208,w,15,9.03,25,0
e1-5,binary,5,bot_7,208,w,17,6,25,0
e1-5,binary,5,bot_7,208,w,19,13.66,25,0
e1-5,binary,5,bot_7,208,w,21,21.33,25,0
e1-5,binary,5,bot_7,208,w,23,12.94,25,0
e1-5,binary,5,bot_7,208,w,25,4.2,25,0
e1-5,binary,5,bot_7,208,w,27,3.43,25,0
e1-5,binary,5,bot_7,208,w,29,25.39,25,0
e1-5,binary,5,bot_7,208,w,31,14.08,25,0
e1-5,binary,5,bot_7,208,w,33,21.7,25,0
e1-5,binary,5,bot_7,208,w,35,16.57,25,0
e1-5,binary,5,bot_7,208,w,37,39.84,25,0
e1-5,binary,5,bot_7,208,w,39,14.29,25,0
e1-5,binary,5,bot_7,208,w,41,11.16,25,0
e1-5,binary,5,bot_7,208,w,43,7.81,25,0
e1-5,binary,5,bot_7,208,w,45,7.03,25,0
e1-5,binary,5,bot_7,208,w,47,3.64,25,0
e1-5,binary,5,bot_7,208,w,49,6.01,25,0
e1-5,binary,5,bot_7,208,w,51,8.72,25,0
e1-5,binary,5,bot_7,208,w,53,15.63,25,0
e1-5,binary,5,bot_7,208,w,55,17.2,25,0
e1-5,binary,5,bot_7,208,w,57,3.77,25,0
e1-5,binary,5,bot_7,208,w,59,12.26,25,0
e1-5,binary,5,bot_8,208,b,2,3.68,25,0
