label,format,games,username,game_id,color,login_ms,plies,result,reason,move_p50_ms,rejects,resumes,recovery_ms,moves_lost,waits,bytes_in,bytes_out,error
e4-truc-tiep,binary,1,bot_201,4658,w,202.92,40,0-1,resign,3.18,0,0,,0,0,1949,452,
e4-truc-tiep,binary,1,bot_202,4658,b,205.27,40,0-1,resign,3.24,0,0,,0,0,1948,443,
