label,format,games,username,game_id,color,login_ms,plies,result,reason,move_p50_ms,rejects,resumes,recovery_ms,moves_lost,waits,bytes_in,bytes_out,error
e4-truc-tiep,binary,1,bot_201,4646,w,189.42,40,0-1,resign,3.11,0,0,,0,0,1955,452,
e4-truc-tiep,binary,1,bot_202,4646,b,191.3,40,0-1,resign,3.87,0,0,,0,0,1954,443,
