label,format,games,username,game_id,color,login_ms,plies,result,reason,move_p50_ms,rejects,resumes,recovery_ms,moves_lost,waits,bytes_in,bytes_out,error
e4-qua-proxy,binary,1,bot_203,4651,w,591.94,0,0-1,timeout,,0,0,,0,0,1040,409,
e4-qua-proxy,binary,1,bot_204,4651,b,590.46,0,0-1,timeout,,0,0,,0,0,1039,409,
