label,format,games,username,game_id,color,login_ms,plies,result,reason,move_p50_ms,rejects,resumes,recovery_ms,moves_lost,waits,bytes_in,bytes_out,error
e7-remote-2-co-cache,binary,20,bot_1,4602,b,178.68,60,0-1,resign,14.75,0,0,,0,0,2570,611,
e7-remote-2-co-cache,binary,20,bot_2,4610,w,248.8,60,0-1,resign,15.81,0,0,,0,0,2568,620,
e7-remote-2-co-cache,binary,20,bot_3,4611,w,248.96,60,0-1,resign,13.79,0,0,,0,0,2575,620,
e7-remote-2-co-cache,binary,20,bot_4,4599,w,244.15,60,0-1,resign,13.88,0,0,,0,0,2562,620,
e7-remote-2-co-cache,binary,20,bot_5,4608,b,247.79,60,0-1,resign,13.91,0,0,,0,0,2568,611,
e7-remote-2-co-cache,binary,20,bot_6,4612,b,248.89,60,0-1,resign,11.81,0,0,,0,0,2565,611,
e7-remote-2-co-cache,binary,20,bot_7,4606,w,246.46,60,0-1,resign,13.75,0,0,,0,0,2561,620,
e7-remote-2-co-cache,binary,20,bot_8,4615,w,249.65,60,0-1,resign,11.48,0,0,,0,0,2567,620,
e7-remote-2-co-cache,binary,20,bot_9,4597,b,241.97,60,0-1,resign,15.91,0,0,,0,0,2561,611,
e7-remote-2-co-cache,binary,20,bot_10,4612,w,247.34,60,0-1,resign,11.6,0,0,,0,0,2566,621,
e7-remote-2-co-cache,binary,20,bot_11,4609,w,246.08,60,0-1,resign,18.44,0,0,,0,0,2577,621,
e7-remote-2-co-cache,binary,20,bot_12,4607,b,245.43,60,0-1,resign,14.38,0,0,,0,0,2575,612,
e7-remote-2-co-cache,binary,20,bot_13,4599,b,242.1,60,0-1,resign,13.38,0,0,,0,0,2561,612,
e7-remote-2-co-cache,binary,20,bot_14,4603,w,243.45,60,0-1,resign,17.54,0,0,,0,0,2572,621,
e7-remote-2-co-cache,binary,20,bot_15,4600,w,242.32,60,0-1,resign,13.67,0,0,,0,0,2570,621,
e7-remote-2-co-cache,binary,20,bot_16,4614,w,247.36,60,0-1,resign,12.76,0,0,,0,0,2576,621,
e7-remote-2-co-cache,binary,20,bot_17,4613,w,246.82,60,0-1,resign,15.54,0,0,,0,0,2576,621,
e7-remote-2-co-cache,binary,20,bot_18,4614,b,247.34,60,0-1,resign,12.06,0,0,,0,0,2575,612,
e7-remote-2-co-cache,binary,20,bot_19,4606,b,244.29,60,0-1,resign,12.59,0,0,,0,0,2560,612,
e7-remote-2-co-cache,binary,20,bot_20,4615,b,247.52,60,0-1,resign,11.99,0,0,,0,0,2566,612,
e7-remote-2-co-cache,binary,20,bot_21,4616,b,247.85,60,0-1,resign,13.38,0,0,,0,0,2570,612,
e7-remote-2-co-cache,binary,20,bot_22,4616,w,247.54,60,0-1,resign,12.99,0,0,,0,0,2571,621,
e7-remote-2-co-cache,binary,20,bot_23,4603,b,242.66,60,0-1,resign,19.4,0,0,,0,0,2571,612,
e7-remote-2-co-cache,binary,20,bot_24,4607,w,243.94,60,0-1,resign,14.58,0,0,,0,0,2576,621,
e7-remote-2-co-cache,binary,20,bot_25,4601,w,241.63,60,0-1,resign,12.88,0,0,,0,0,2572,621,
e7-remote-2-co-cache,binary,20,bot_26,4602,w,241.94,60,0-1,resign,13.96,0,0,,0,0,2572,621,
e7-remote-2-co-cache,binary,20,bot_27,4611,b,245.14,60,0-1,resign,13.59,0,0,,0,0,2575,612,
e7-remote-2-co-cache,binary,20,bot_28,4598,w,239.52,60,0-1,resign,16.96,0,0,,0,0,2581,621,
e7-remote-2-co-cache,binary,20,bot_29,4609,b,244.25,60,0-1,resign,19.27,0,0,,0,0,2576,612,
e7-remote-2-co-cache,binary,20,bot_30,4601,b,241.31,60,0-1,resign,13.14,0,0,,0,0,2571,612,
e7-remote-2-co-cache,binary,20,bot_31,4613,b,245.51,60,0-1,resign,16.61,0,0,,0,0,2575,612,
e7-remote-2-co-cache,binary,20,bot_32,4600,b,240.71,60,0-1,resign,12.44,0,0,,0,0,2569,612,
e7-remote-2-co-cache,binary,20,bot_33,4608,w,243.32,60,0-1,resign,16.21,0,0,,0,0,2569,621,
e7-remote-2-co-cache,binary,20,bot_34,4604,w,241.66,60,0-1,resign,17.8,0,0,,0,0,2569,621,
e7-remote-2-co-cache,binary,20,bot_35,4610,b,243.88,60,0-1,resign,15.36,0,0,,0,0,2568,612,
e7-remote-2-co-cache,binary,20,bot_36,4597,w,237.64,60,0-1,resign,17.86,0,0,,0,0,2562,621,
e7-remote-2-co-cache,binary,20,bot_37,4605,w,241.66,60,0-1,resign,16.87,0,0,,0,0,2578,621,
e7-remote-2-co-cache,binary,20,bot_38,4605,b,241.74,60,0-1,resign,13.85,0,0,,0,0,2577,612,
e7-remote-2-co-cache,binary,20,bot_39,4598,b,238.47,60,0-1,resign,12.84,0,0,,0,0,2580,612,
e7-remote-2-co-cache,binary,20,bot_40,4604,b,241.14,60,0-1,resign,13.38,0,0,,0,0,2568,612,
