elapsed_s,threads,heap_mb,games,db_queue
0,20,41,1,0
5,20,41,1,0
10,20,41,1,0
15,20,41,1,0
20,20,73,1,0
25,20,74,1,0
30,20,74,1,0
35,20,74,1,0
40,20,74,1,0
45,20,35,1,0
50,20,35,1,0
